id,race,decile_score,score_text,two_year_recid,LB,UB,LB_geo,UB_geo,flag_min,flag_max
4624,African-American,8,High,1,-1.19484325307575,1.40702586889964,-1.16691469566049,1.49978344343122,1,1
1984,African-American,8,High,1,-1.78660583571247,1.39929080231246,-2.07802171203854,1.26605968932602,1,1
8487,Caucasian,8,High,0,-1.19236380936538,1.40738613692765,-1.16573979237655,1.49979473067513,1,1
4999,African-American,8,High,1,-1.19459704501335,1.40492785835414,-1.16674904620405,1.50091798292401,1,1
1576,African-American,8,High,1,-1.47512352788731,9.4772176410139,-1.43322952596652,6.18667938695345,1,1
3759,African-American,8,High,0,0.120041956855046,1.66408669805718,0.165573497096229,1.82090283592697,1,1
10346,African-American,8,High,1,0.0851013831101985,1.4972215070528,0.120384235902299,1.59003250466747,1,1
1239,African-American,8,High,1,0.0848353915672611,1.47440328657822,0.120069448185974,1.58685888765953,1,1
5687,Caucasian,8,High,1,-1.54608410902228,0.576340354370667,-1.47737674842362,0.64058551520219,1,1
8885,African-American,8,High,1,-2.23786107706218,3.63408890910069,-2.44320410327089,2.99017226024747,1,1
2824,Hispanic,8,High,1,-1.48469238217935,1.50428625635278,-1.23185301262033,1.67778696301241,1,1
4933,African-American,8,High,0,0.33136417027025,1.44763365497537,0.511647302936443,1.35376840357231,1,1
3602,African-American,8,High,1,0.0837815698695936,1.44720711464817,0.118699445090007,1.39162487514353,1,1
9497,African-American,8,High,0,-1.5459342659359,0.575782096692607,-1.48054560021391,0.640006554825999,1,1
6462,African-American,8,High,1,-1.63934860778692,3.55926921105574,-1.57656765843643,2.86993599226718,1,1
6391,African-American,8,High,1,-1.45444181129622,2.08294464284959,-1.53122580329838,2.29022245415516,1,1
10870,Caucasian,8,High,1,0.0242450942132434,1.606247009542,0.0276833546385236,1.72073003738004,1,1
10831,Caucasian,8,High,1,-2.14425488601963,0.119929952179768,-2.46194310715798,0.140285275917644,1,1
5003,African-American,8,High,1,-0.567692341759959,5.62068307886979,-0.526529477299589,4.25388744430667,1,1
